molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_description,document_chembl_id
CHEMBL3125620,CC(C)(C)NC(=O)Nc1nc(Cl)c(-c2ccc(-c3cccnc3)cc2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,Ki,1520.0,nM,5.82,Inhibition of full-length HCV NS3 protease D168V mutant,CHEMBL3124833
CHEMBL3125634,CC(C)(C)NC(=O)Nc1nc(Cl)c(CCC2CCCCC2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,Ki,320.0,nM,6.50,Inhibition of full-length HCV NS3 protease D168V mutant,CHEMBL3124833
CHEMBL3125635,Cc1c(Cl)nc(NC(=O)NC(C)(C)C)c(=O)n1C(C(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,Ki,1260.0,nM,5.90,Inhibition of full-length HCV NS3 protease D168V mutant,CHEMBL3124833
CHEMBL3921185,C=CC(=O)NC[C@H](NC(=O)NC(C)(C)C)C(=O)N1CC2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C,IC50,290.0,nM,6.54,"FRET Assay: The protocol is a modified FRET-based assay (v_02) from In Vitro Resistance Studies of HCV Serine Protease Inhibitors, 2004, JBC, vol. 279, No. 17, pp 17508-17514. Inherent potency of comp",CHEMBL3886880
CHEMBL3927196,CC(C)=CC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C,IC50,53.0,nM,7.28,"FRET Assay: The protocol is a modified FRET-based assay (v_02) from In Vitro Resistance Studies of HCV Serine Protease Inhibitors, 2004, JBC, vol. 279, No. 17, pp 17508-17514. Inherent potency of comp",CHEMBL3886880
CHEMBL3983582,C=CC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,IC50,232.0,nM,6.63,"FRET Assay: The protocol is a modified FRET-based assay (v_02) from In Vitro Resistance Studies of HCV Serine Protease Inhibitors, 2004, JBC, vol. 279, No. 17, pp 17508-17514. Inherent potency of comp",CHEMBL3886880
CHEMBL3921185,C=CC(=O)NC[C@H](NC(=O)NC(C)(C)C)C(=O)N1CC2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C,IC50,1330.0,nM,5.88,"FRET Assay: The protocol is a modified FRET-based assay (v_03) developed to evaluate compound potency, rank-order and resistance profiles against wild type and C159S, A156S, A156T, D168A, D168V, R155K",CHEMBL3886880
CHEMBL3927196,CC(C)=CC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C,IC50,456.0,nM,6.34,"FRET Assay: The protocol is a modified FRET-based assay (v_03) developed to evaluate compound potency, rank-order and resistance profiles against wild type and C159S, A156S, A156T, D168A, D168V, R155K",CHEMBL3886880
CHEMBL3983582,C=CC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,IC50,1740.0,nM,5.76,"FRET Assay: The protocol is a modified FRET-based assay (v_03) developed to evaluate compound potency, rank-order and resistance profiles against wild type and C159S, A156S, A156T, D168A, D168V, R155K",CHEMBL3886880
CHEMBL3954962,C=CC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](CCC)C(OC(=O)C(F)(F)F)C(=O)NC1CC1,IC50,111.0,nM,,"FRET Assay: The protocol is a modified FRET-based assay (v_03) developed to evaluate compound potency, rank-order and resistance profiles against wild type and C159S, A156S, A156T, D168A, D168V, R155K",CHEMBL3886880
CHEMBL3954962,C=CC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](CCC)C(OC(=O)C(F)(F)F)C(=O)NC1CC1,IC50,463.0,nM,6.33,"FRET Assay: The protocol is a modified FRET-based assay (v_03) developed to evaluate compound potency, rank-order and resistance profiles against wild type and C159S, A156S, A156T, D168A, D168V, R155K",CHEMBL3886880
CHEMBL417559,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CS)C(=O)O)C(c1ccccc1)c1ccccc1,Ki,40.0,nM,7.40,Inhibition of HCV NS3 protease,CHEMBL4371002
CHEMBL159723,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(c1ccccc1)c1ccccc1)C(=O)O,Ki,700.0,nM,6.16,Inhibition of HCV NS3 protease,CHEMBL4371002
CHEMBL421233,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)O)C(c1ccccc1)c1ccccc1,Ki,30.0,nM,7.52,Inhibition of HCV NS3 protease,CHEMBL4371002
CHEMBL4588900,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)CC5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(=O)C(C)C)n3)nc2c1C,IC50,6.7,nM,8.17,Enzymatic assay,CHEMBL4507284
CHEMBL4588900,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)CC5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(=O)C(C)C)n3)nc2c1C,EC50,4.6,nM,8.34,"HCVPV RNA replication Luciferase reporter assay, genotype 1a",CHEMBL4507284
CHEMBL4588900,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)CC5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(=O)C(C)C)n3)nc2c1C,EC50,1.8,nM,,"HCVPV RNA replication Luciferase reporter assay, genotype 1b",CHEMBL4507284
CHEMBL4516471,O=C(N[C@H]1CCCCC/C=C\C2C[C@@]2(C(=O)O)NC(=O)[C@@H]2C[C@@H](Oc3ccncc3)CN2C1=O)OC1CCCC1,IC50,4870.0,nM,5.31,Enzymatic assay,CHEMBL4507284
